datetime,text_length,user_verified,sadness,joy,love,anger,fear,surprise,num_tweets
2020-01-03 00:00:00+00:00,111.36666666666666,0.0,0.07839624168021449,0.6365235705549518,0.004951007984345779,0.2051370410787058,0.07084948764822911,0.004142665945497962,30
2020-01-04 00:00:00+00:00,168.36,0.0,0.062367906719446184,0.6880764603614807,0.004140548116993159,0.1643901061383076,0.07733915764605627,0.0036858055216725917,25
2020-01-05 00:00:00+00:00,133.57142857142858,0.0,0.035673264447333555,0.6609257904347032,0.004311827930255926,0.24400929135403462,0.05134805622011689,0.003731763963254967,14
2020-01-06 00:00:00+00:00,142.33333333333334,0.0,0.135521562032712,0.6073203219534157,0.003520897855600601,0.18540287324382612,0.06355514280504496,0.004679193603806198,18
2020-01-07 00:00:00+00:00,140.48529411764707,0.0,0.0504894500665935,0.7735136671347872,0.0030386665342067476,0.10162529535120805,0.039258909389258516,0.0320740182961505,68
2020-01-08 00:00:00+00:00,187.31578947368422,0.0,0.07029274988944005,0.5572146651194136,0.0028297518147155643,0.29542803730031375,0.07160095785327844,0.0026338142365842174,19
2020-01-09 00:00:00+00:00,130.41666666666666,0.0,0.07130388398945797,0.533877027007596,0.0049131398858056246,0.24379785139050605,0.11622044112057968,0.029887660228268942,24
2020-01-10 00:00:00+00:00,67.0,0.0,0.07161281939625042,0.6449732248015194,0.0059360386406875805,0.20157400079055646,0.0713564328133626,0.004547489982294131,44
2020-01-11 00:00:00+00:00,136.4512195121951,0.0,0.04247403350142654,0.7023111870601098,0.004383673417423114,0.09966215671507908,0.04196356993740731,0.10920537585089489,82
2020-01-12 00:00:00+00:00,178.984375,0.0,0.03499713240330493,0.7945141460877494,0.004574270426928706,0.03250508283895215,0.014720782550284639,0.11868859345099736,64
2020-01-13 00:00:00+00:00,151.85714285714286,0.0,0.07363756947078011,0.6989366976349444,0.0036078596669391785,0.08527849505659031,0.0258950281009786,0.11264435096871944,49
2020-01-14 00:00:00+00:00,134.13793103448276,0.0,0.0487505176901448,0.802613528457406,0.003155293680751568,0.08816088758688019,0.05384509764152081,0.003474669904821424,29
